city,total_customers,avg_order_value,avg_ltv,monthly_churn_rate,repeat_purchase_rate,top_category,top_acquisition_source,preferred_device,peak_shopping_day,ig_ads_cvr,email_cvr,paid_search_cvr,organic_cvr,mobile_share,description
Jakarta,320,285.0,1140.0,0.048,0.68,Electronics,Paid Search,Mobile,Friday,0.142,0.181,0.155,0.098,0.65,Jakarta is the highest-value market: premium electronics buyers with strong paid-channel ROI. Friday evening is the dominant purchase window. Email and IG Ads both over-index here.
Bali,155,210.0,756.0,0.055,0.52,Home & Garden,Organic,Mobile,Sunday,0.091,0.119,0.103,0.134,0.58,Bali shoppers are organic-first and referral-driven. Home & Garden dominates. IG Ads under-perform vs national average — budget is better spent on SEO and referral programs here.
Bandung,198,195.0,702.0,0.061,0.55,Apparel,Social Media,Mobile,Saturday,0.131,0.112,0.118,0.095,0.62,Bandung is Indonesia's fashion hub. Apparel dominates and Social Media is the top acquisition channel. Saturday is peak day — ideal for flash-sale campaigns targeting style-conscious millennials.
Surabaya,210,230.0,874.0,0.043,0.65,Food & Drink,Email,Mobile,Thursday,0.11,0.163,0.128,0.102,0.6,Surabaya is the email powerhouse — CVR of 16.3% vs 13% national average. Practical buyers focused on Food & Drink. Strong repeat purchase rate makes this the best city for subscription and loyalty programs.
Medan,175,188.0,620.0,0.068,0.48,Food & Drink,Organic,Mobile,Wednesday,0.099,0.131,0.108,0.121,0.74,Medan is highly mobile (74% share) and organic-dominant. Churn rate is elevated — a retention campaign is overdue. Food & Drink is the anchor category. Low IG Ads CVR suggests shifting budget to organic content.
Yogyakarta,145,162.0,486.0,0.052,0.5,Books,Direct,Desktop,Sunday,0.083,0.141,0.092,0.115,0.55,Yogyakarta is a student-heavy market with the lowest AOV but strong Books and Sports categories. Desktop usage is above average. Paid channel ROI is the weakest in the network — lean into content and community.
Makassar,142,205.0,697.0,0.058,0.53,Food & Drink,Social Media,Mobile,Friday,0.122,0.108,0.111,0.096,0.77,Makassar is the most mobile-first city (77%) and highly social-responsive. Food & Drink dominates. IG Ads are above the national average — strong candidate for social-first campaigns and mobile-optimised landing pages.
Semarang,168,248.0,893.0,0.04,0.67,Electronics,Email,Mobile,Tuesday,0.112,0.172,0.139,0.108,0.61,Semarang has the lowest churn in the network and the second-highest email CVR. Electronics buyers with strong repeat behaviour. Tuesday campaigns consistently outperform — schedule email sends accordingly.
Depok,243,258.0,980.0,0.046,0.63,Electronics,Paid Search,Mobile,Monday,0.124,0.143,0.148,0.101,0.63,Depok closely mirrors Jakarta in profile but with lower AOV. Paid Search dominates acquisition. Electronics and Apparel split the revenue. Monday is peak — a commuter buying pattern that rewards morning push notifications.
Tangerang,244,272.0,1034.0,0.044,0.64,Apparel,Paid Search,Mobile,Saturday,0.133,0.151,0.144,0.099,0.66,Tangerang is a high-value suburban market with Apparel leading. Strong IG Ads CVR and good email performance make it a dual-channel opportunity. Saturday dominance suggests weekend lifestyle shopping patterns.
